,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
64,EPI,6591,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_cbv_tstat.nii.gz,-0.9685790538787842,-1.1010698080062866,6591:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
65,EPI,6592,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,3.5438358783721924,3.284797191619873,6592:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
66,EPI,6592,ofMr1,CogMwf,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_cbv_tstat.nii.gz,2.333569288253784,2.3136229515075684,6592:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
67,EPI,6593,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,0.7454835772514343,0.7397634983062744,6593:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
68,EPI,6593,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.22212645411491394,-0.30210426449775696,6593:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
69,EPI,6639,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_cbv_tstat.nii.gz,4.789046764373779,4.929943084716797,6639:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
70,EPI,6639,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_cbv_tstat.nii.gz,-1.5900914669036865,-1.489919900894165,6639:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
71,EPI,6642,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,7.704383850097656,7.507377624511719,6642:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
72,EPI,6642,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_cbv_tstat.nii.gz,-0.9979129433631897,-1.4641618728637695,6642:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
73,EPI,6643,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_cbv_tstat.nii.gz,3.555678367614746,3.166868209838867,6643:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
74,EPI,6643,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,1.3450748920440674,1.611750841140747,6643:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
75,EPI,6654,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,2.1587302684783936,2.697941780090332,6654:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
76,EPI,6655,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,0.13460637629032135,0.1631171852350235,6655:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
77,EPI,6655,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,-0.026232391595840454,-0.16438667476177216,6655:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
